	1320
barque	1
barquito	1
barren	4
barrier	12
barriers	4
barring	1
barros	2
barry	1
bars	8
barter	2
bartered	2
bartering	1
bartholomew	2
bartolomé	1
base	9
baseball	1
based	7
bases	2
basic	1
basil	2
basin	3
basis	4
basket	1
basque	1
basques	1
batch	2
batches	1
baths	3
battered	2
batteries	2
battle	10
battlefield	1
battles	3
battleships	1
bautista	2
bay	45
baya	1
be	278
beach	5
beacon	1
beads	3
beagle	1
beam	1
beans	8
bear	2
bearded	1
beards	1
bearers	1
bearing	16
bears	5
beat	1
beaten	3
beauchef	1
beautiful	30
beautifully	4
beauty	10
became	21
because	22
beckon	1
become	11
becomes	6
becoming	2
bed	6
bedecked	1
beds	28
beech	11
beeches	2
beef	3
beekeeping	1
been	255
beer	1
beet	1
befallen	1
before	88
beg	3
began	28
beggars	1
begged	2
begging	1
begin	5
beginning	24
beginnings	1
begins	3
begun	10
behalf	2
beheaded	2
beheld	1
behind	11
behold	1
being	75
belated	1
belgium	1
belief	2
beliefs	1
believe	1
believed	3
believing	2
bell	4
belles	1
bellicose	1
belligerent	1
belligerents	2
bello	3
bells	2
belong	1
belonging	4
belongs	3
beloved	4
below	31
belt	15
belts	3
benavides	1
bench	1
benches	1
bend	2
beneath	4
beneficent	1
beneficial	2
benefit	1
benevente	1
benevolent	1
benjamin	2
bent	3
berberis	2
berberry	1
berlin	1
bernardo	10
berried	1
berries	9
berth	1
berths	2
bertrand	1
beset	1
beside	8
besides	9
besieged	3
besought	1
best	30
betagh	12
betagh_	1
bethlehem	5
better	19
betterment	1
betuloides_	1
between	139
beyond	14
bezoar	2
bid	1
big	53
biggest	1
bill	1
bills	1
binary	1
bio	42
biographies	1
birch	1
bird	7
birds	18
birth	1
births	2
biscuit	3
bishop	4
bismuth	1
bits	1
bitter	3
bitterly	2
black	20
blackberries	1
blackberry	2
blackened	2
blackletter	1
blacksmith	1
blacksmiths	2
blade	3
blamed	4
blanc	1
blanca	2
blancas	3
blanched	2
blanco	10
blanco_	1
blanket	1
blankets	2
blasco	1
blasphemy	1
blast	1
blasted	2
blasting	3
blastings	1
blazing	1
bleached	1
bleaching	1
bleak	1
blend	1
blest	2
blew	1
blighting	1
blind	2
blinding	2
blockade	4
blockaded	1
blockading	1
blocking	3
blond	1
blood	26
bloodshed	1
bloom	2
blossomed	1
blossoming	1
blotted	2
blow	5
blowing	1
blue	16
bluntly	1
board	16
boarded	1
boarding	2
boast	1
boat	15
boatbuilding	1
boating	1
boats	13
boatswain	1
bodice	1
bodied	1
bodies	10
body	13
boer	2
boers	1
boggy	1
bogs	1
boilers	1
boiling	2
boisterous	2
bolas	1
bold	6
boldaina	1
boldly	2
boldo	1
bolivia	60
bolivian	22
bolivians	4
bolsa	3
bolshevik	2
